"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014"
"21500","Erie, PA (Metropolitan Statistical Area)",36716,36472,36759,38061,38186,37513,37993
"21660","Eugene, OR (Metropolitan Statistical Area)",34831,33370,33179,33382,34087,33935,35039
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",39939,38305,38780,40198,41379,40112,41322
"21820","Fairbanks, AK (Metropolitan Statistical Area)",43944,43944,43646,46466,45650,43094,45043
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",43048,41289,43036,45276,48116,47718,48150
"22140","Farmington, NM (Metropolitan Statistical Area)",34788,32785,32495,34932,34807,34615,36567
"22180","Fayetteville, NC (Metropolitan Statistical Area)",35690,35913,36511,36728,36980,36056,36616
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",45157,42363,42395,46158,51343,50756,51755
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",36330,34869,34361,35419,35572,35709,36863
"22420","Flint, MI (Metropolitan Statistical Area)",32067,31624,31736,32642,33120,33548,34592
"22500","Florence, SC (Metropolitan Statistical Area)",38393,37188,36851,37253,37289,37087,37677
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",36479,36792,36950,37129,36554,36702,37286
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",44353,42391,42023,42778,43803,43504,44729
"22660","Fort Collins, CO (Metropolitan Statistical Area)",39456,37612,37026,37678,38140,38573,39557
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",35232,34122,34174,35010,35606,35323,36177
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",38878,37186,37365,38546,39555,39034,40047
"23420","Fresno, CA (Metropolitan Statistical Area)",31938,31302,31467,32161,32924,33307,33861
"23460","Gadsden, AL (Metropolitan Statistical Area)",35338,35466,35332,35533,35838,35353,36177
"23540","Gainesville, FL (Metropolitan Statistical Area)",35879,33993,35224,36340,36062,36197,37176
"23580","Gainesville, GA (Metropolitan Statistical Area)",35033,34511,34175,34807,34876,35552,36714
"23900","Gettysburg, PA (Metropolitan Statistical Area)",38189,38639,38730,39337,39943,40303,41174
"24020","Glens Falls, NY (Metropolitan Statistical Area)",34752,35722,36473,37435,37644,37691,38686
"24140","Goldsboro, NC (Metropolitan Statistical Area)",36674,36502,35799,36271,37591,36273,36767
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",39909,38331,39694,41453,44346,43662,42687
"24260","Grand Island, NE (Metropolitan Statistical Area)",44627,43433,42285,44733,45038,44394,43891
"24300","Grand Junction, CO (Metropolitan Statistical Area)",38413,34935,34149,35286,36500,35966,37130
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",40167,36934,38366,40567,41825,41386,42352
"24420","Grants Pass, OR (Metropolitan Statistical Area)",30332,30808,31117,31323,31936,31799,32990
"24500","Great Falls, MT (Metropolitan Statistical Area)",40176,40120,40038,40018,40170,39143,40404
"24540","Greeley, CO (Metropolitan Statistical Area)",34691,33228,32901,33955,35237,35266,35976
"24580","Green Bay, WI (Metropolitan Statistical Area)",42457,41786,42416,43122,44015,43926,44786
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",37979,37369,37443,37672,38659,37635,38515
"24780","Greenville, NC (Metropolitan Statistical Area)",36238,34998,35079,35267,37183,35998,36642
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",37887,36106,36445,36891,37494,37176,38069
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",36517,35871,36088,35638,35333,35079,35363
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",32863,33019,33601,34075,34348,33676,34458
"25220","Hammond, LA (Metropolitan Statistical Area)",36232,35992,35899,36149,36768,36493,36872
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",26732,25941,27443,30146,29726,29875,32102
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",41563,41294,41836,42863,43446,43317,44137
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",33052,31515,31906,32560,32964,32967,33950
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",49431,48753,48876,49651,50472,49957,51271
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",35349,35139,34838,35349,35738,35233,35834
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",33943,33364,33459,33506,34980,33677,35002
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",44216,42287,40180,42005,42527,42033,42331
"25980","Hinesville, GA (Metropolitan Statistical Area)",32624,30748,31875,32364,30198,30727,30496
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",32697,32273,33547,34048,33787,34741,35539
"26300","Hot Springs, AR (Metropolitan Statistical Area)",37269,37311,37197,37844,38823,38087,39137
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",45418,44256,44204,43201,46246,47847,48714
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",49432,43580,44174,46751,49484,49068,50288
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",36517,36833,36683,37046,37521,36706,37391
"26620","Huntsville, AL (Metropolitan Statistical Area)",43660,42732,43738,44137,43804,42815,43684
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",38048,35715,35361,37147,37924,37404,38117
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",42371,40519,40748,41876,42963,42611,43348
"26980","Iowa City, IA (Metropolitan Statistical Area)",41806,41087,41028,43048,43277,43096,43492
"27060","Ithaca, NY (Metropolitan Statistical Area)",32374,32215,32565,33341,33484,32888,33170
"27100","Jackson, MI (Metropolitan Statistical Area)",32326,32375,33091,33930,33671,34174,35050
"27140","Jackson, MS (Metropolitan Statistical Area)",40694,39448,39846,40804,41553,41133,41933
"27180","Jackson, TN (Metropolitan Statistical Area)",38589,38140,38401,40192,40422,39985,40249
"27260","Jacksonville, FL (Metropolitan Statistical Area)",41312,39130,40049,40956,41429,40838,41610
"27340","Jacksonville, NC (Metropolitan Statistical Area)",43667,45608,46148,46529,44685,43376,43511
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",34811,35291,35684,36452,37548,38455,38514
"27620","Jefferson City, MO (Metropolitan Statistical Area)",43484,43199,42808,42458,42593,42381,43066
"27740","Johnson City, TN (Metropolitan Statistical Area)",34652,34322,35179,36325,36324,35857,36108
"27780","Johnstown, PA (Metropolitan Statistical Area)",39600,40183,37753,39156,38961,39598,40379
"27860","Jonesboro, AR (Metropolitan Statistical Area)",36997,36265,35923,36257,36949,36974,37060
"27900","Joplin, MO (Metropolitan Statistical Area)",35130,35191,34431,35362,36474,35581,35946
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",33061,31799,31693,32384,33732,33025,34188
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",37698,36610,36649,38109,38101,38771,39375
"28100","Kankakee, IL (Metropolitan Statistical Area)",33646,32983,32746,32633,32616,33177,33132
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",46219,44336,44031,44578,45286,44796,45613
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",37046,37140,37356,37502,36303,35119,35486
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",39602,40831,39950,40720,39716,38532,38766
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",36627,36234,36331,37991,38697,37621,38199
"28740","Kingston, NY (Metropolitan Statistical Area)",35541,35044,35565,36277,36594,36200,37164
"28940","Knoxville, TN (Metropolitan Statistical Area)",38565,37671,38459,39594,40385,39447,40208
"29020","Kokomo, IN (Metropolitan Statistical Area)",37486,35593,34971,35872,36640,36669,37724
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",40649,40494,39962,41257,41926,41373,42080
"29180","Lafayette, LA (Metropolitan Statistical Area)",46350,42755,44183,44267,47401,45964,46530
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",33760,31947,32352,33451,33571,32994,33558
"29340","Lake Charles, LA (Metropolitan Statistical Area)",40867,38463,38378,38984,40334,39489,41346
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",27641,26615,26502,26073,26386,26378,27239
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",32060,30675,32273,33127,31904,31636,32201
